RaceNo,Place,Tally,HelmName,Nat,SailNo,HelmSex,Class,HelmAgeGroup,Elapsed,Code
1,16,18,"JASIUNAS, RYTIS",Lithuania,,M,Open,20-39M,00:35:23,
1,501,1047,"RINKEVICIUS, ARUNAS",Lithuania,,M,Fin,40-59M,01:00:50,
2,24,18,"JASIUNAS, RYTIS",Lithuania,,M,Open,20-39M,00:34:05,
2,362,1047,"RINKEVICIUS, ARUNAS",Lithuania,,M,Fin,40-59M,00:49:11,
2,738,1049,"MIKLUSIS, TOMAS",Lithuania,,M,Fin,40-59M,01:01:10,
3,64,18,"JASIUNAS, RYTIS",Lithuania,,M,Open,20-39M,00:37:31,
3,983,1049,"MIKLUSIS, TOMAS",Lithuania,,M,Fin,40-59M,,DNF
3,983,1047,"RINKEVICIUS, ARUNAS",Lithuania,,M,Fin,40-59M,,DNS
4,22,18,"JASIUNAS, RYTIS",Lithuania,,M,Open,20-39M,00:34:23,
4,215,1047,"RINKEVICIUS, ARUNAS",Lithuania,,M,Fin,40-59M,00:44:49,
4,1018,1049,"MIKLUSIS, TOMAS",Lithuania,,M,Fin,40-59M,,DNS
